ISBN;Book-title;Book-Author;Rating
152465030;The Little Prince;Antoine De Saint-Exupery;5
451528018;The Hound of the Baskervilles (Signet Classics (Paperback));Arthur Conan Doyle;6
140439072;The Sign of Four (Penguin Classics);Arthur Conan Doyle;4
895775522;The further adventures of Sherlock Holmes (World's best reading);Arthur Conan Doyle;8
595014674;Memoirs of Sherlock Holmes;Arthur Conan Doyle;3
435126105;New Windmill Classics: Sherlock Holmes Short Stories (New Windmills);Arthur Conan Doyle;9
451521064;The Sherlock Holmes Mysteries;Arthur Conan Doyle;8
804900973;Adventures of Sherlock Holmes;Arthur Conan, Sir Doyle;10
425083896;Books of Blood, Vol. 1;Clive Barker;7
425087395;Books of Blood, Vol. 2;Clive Barker;9
006017949X;Sacrament;Clive Barker;6
671742892;Inhuman Condition;Clive Barker;2
451522362;Robinson Crusoe;Daniel Defoe;10
440173922;The Ring;Danielle Steel;1
385496982;The Inferno;DANTE;6
1563893428;Batman: The Dark Knight Returns (Batman (DC Comics Paperback));DC Comics;8
717283534;Lion King Disney;Disney;10
831794704;Winnie the Pooh;Disney;7
1557231745;Winnie the Pooh and the Bluestery Day;Disney;6
307608697;Winnie the Pooh Meets Tigger;Disney;9
831752912;Walt Disney's The Jungle Book;Disney;10
453030378;Beauty and the Beast (Disney Classic Series);Disney;5
717264718;102 Dalmatians;Disney;8
553210424;Metamorphosis;Franz Kafka;2
451526341;Animal Farm;George Orwell;10
451524934;1984;George Orwell;8
553103547;A Game of Thrones (A Song of Ice and Fire, Book 1);George R. R. Martin;7
553579908;A Clash of Kings (A Song of Fire and Ice, Book 2);George R. R. Martin;9
553106635;A Storm of Swords (A Song of Ice and Fire, Book 3);George R. R. Martin;6
186046808X;Faceless Killers;Henning Mankell;9
872203522;Iliad;Homer;4
872204847;Odyssey;Homer;5
345318587;The Hobbit;J R R Tolkien;7
590353403;Harry Potter and the Sorcerer's Stone (Book 1);J. K. Rowling;9
439064872;Harry Potter and the Chamber of Secrets (Book 2);J. K. Rowling;6
439136350;Harry Potter and the Prisoner of Azkaban (Book 3);J. K. Rowling;10
613325419;Fantastic Beasts and Where to Find Them;J. K. Rowling;5
439139597;Harry Potter and the Goblet of Fire (Book 4);J. K. Rowling;9
043935806X;Harry Potter and the Order of the Phoenix (Book 5);J. K. Rowling;8
48230871;The Lord of the rings,;J. R. R Tolkien;7
345272609;The Return of the King;J. R. R Tolkien;10
345272595;The Two Towers;J. R. R Tolkien;4
345272587;The Fellowship of the Ring;J. R. R Tolkien;8
157765692X;The Last of the Mohicans (Great Illustrated Classics);James Fenimore Cooper;9
451521455;The Pioneers;James Fenimore Cooper;10
451524845;Deerslayer;James Fenimore Cooper;8
451521390;Pathfinder;James Fenimore Cooper;10
014039026X;The Prairie (Penguin Classics);James Fenimore Cooper;9
893756083;Around the World in 80 Days;Jules Verne;5
089375417X;Journey to the Center of the Earth;Jules Verne;4
671814478;DR STRANGE COMIC 5 (Kangaroo Book);Marvel Comics;7
671834894;SPIDERMAN 1 (Spiderman);Marvel Comics;9
751328855;Ultimate X-Men;Stan Lee;4
450411435;It;Stephen King;8
743412273;Pet Sematary;Stephen King;10
671041789;The Green Mile;Stephen King;10
451131312;Night Shift/Children of Corn;Stephen King;6
074343627X;Dreamcatcher;Stephen King;8
451168615;Skeleton Crew;Stephen King;3
451166582;The Eyes of the Dragon;Stephen King;5
